Plugin,Menu,Section,Type,English,Japanese
Automaton,Captured,,Text, by croizat, by croizat
Automaton,Captured,,TableSetupColumn,Checkbox,有効
Automaton,Captured,,Text,GitHub,GitHub
Automaton,Captured,,Text,Ko-fi,Ko-fi
Automaton,Captured,,Text,v69.218,v69.218
Automaton,Captured,,Selectable, [#25199] Discontinued Crafters' Scrip, [#25199] 旧クラフタースクリップ
Automaton,Captured,,Selectable, [#25200] Discontinued Gatherers' Scrip, [#25200] 旧ギャザラースクリップ
Automaton,Captured,,Selectable, [#33913] Levelling Crafters' Scrip, [#33913] レベリング用クラフタースクリップ
Automaton,Captured,,Selectable, [#33914] Levelling Gatherers' Scrip, [#33914] レベリング用ギャザラースクリップ
Automaton,Captured,,Selectable, [#41784] Capstone Crafters' Scrip, [#41784] カンスト帯クラフタースクリップ
Automaton,Captured,,Selectable, [#41785] Capstone Gatherers' Scrip, [#41785] カンスト帯ギャザラースクリップ
Automaton,Captured,,Selectable, [#47] Discontinued Tomestone, [#47] 旧アラガントームストーン
Automaton,Captured,,Selectable, [#48] Unlimited Tomestone, [#48] 週制限なしトームストーン
Automaton,Captured,,Selectable, [#49] Limited Tomestone, [#49] 週制限ありトームストーン
Automaton,Captured,,RenderTextWrapped,#FFFFFFFF,#FFFFFFFF
Automaton,Captured,,Text/RenderTextWrapped,/autofollow,/autofollow
Automaton,Captured,,Checkbox/RenderText,/desynth##Input,/desynth##Input
Automaton,Captured,,Checkbox/RenderText,/equip##Input,/equip##Input
Automaton,Captured,,Checkbox/RenderText,/gotoflag##Input,/gotoflag##Input
Automaton,Captured,,Checkbox/RenderText,/item##Input,/item##Input
Automaton,Captured,,Checkbox/RenderText,/killflag##Input,/killflag##Input
Automaton,Captured,,Checkbox/RenderText,/lowerquality##Input,/lowerquality##Input
Automaton,Captured,,Checkbox/RenderText,/norender##Input,/norender##Input
Automaton,Captured,,Checkbox/RenderText,/tpf##Input,/tpf##Input
Automaton,Captured,,Checkbox/RenderText,/travel##Input,/travel##Input
Automaton,Captured,,Text/RenderTextWrapped,Achievement Tracker,実績トラッカー
Automaton,Captured,,Selectable,Achievement Tracker##Selectable_Achievement Tracker,実績トラッカー##Selectable_Achievement Tracker
Automaton,Captured,,Button,Add Currency,通貨を追加
Automaton,Captured,,Button,Add Item,アイテムを追加
Automaton,Captured,,Button,Add Sort Criteria,並び替え条件を追加
Automaton,Captured,,Text/RenderTextWrapped,Additional options when logging in.,ログイン時の追加設定です。
Automaton,Captured,,Text/RenderTextWrapped,Adds a context menu item that will retrieve all materia from an item.,アイテムの右クリックメニューに、装着済みマテリアをすべて回収する項目を追加します。
Automaton,Captured,,Text/RenderTextWrapped,Adds a context menu to items to loop through attaching and removing materia for the Getting Too Attached achievement,「マテリア装着」系実績向けに、アイテムへマテリア装着と回収を繰り返す右クリックメニューを追加します。
Automaton,Captured,,Text/RenderTextWrapped,Adds a DTR element and commands to switch to the prev/next character in AutoRetainer.,DTR表示とコマンドを追加し、AutoRetainerの前／次キャラクターへ切り替えられるようにします。
Automaton,Captured,,Text/RenderTextWrapped,Adds an achievement tracker,実績トラッカーを追加します。
Automaton,Captured,,Text/RenderTextWrapped,Adds CharacterName@World to the window title.,ゲームウィンドウのタイトルに「キャラクター名@ワールド名」を表示します。
Automaton,Captured,,Checkbox/RenderText,Allow partial world matching,ワールド名の部分一致を許可
Automaton,Captured,,Text/RenderTextWrapped,Anti-AFK,離席防止
Automaton,Captured,,Selectable,Anti-AFK##Selectable_Anti-AFK,離席防止##Selectable_Anti-AFK
Automaton,Captured,,Text/RenderTextWrapped,Appends a clickable icon to messages with a MapLinkPayload to relay them to other channels.,マップリンク付きメッセージにクリック可能なアイコンを追加し、別チャンネルへ中継できるようにします。
Automaton,Captured,,Checkbox/RenderText,AreaMap Click##Input,エリアマップをクリック##Input
Automaton,Captured,,Checkbox/RenderText,Assume blank worlds are local,ワールド名が空欄なら同一ワールドとして扱う
Automaton,Captured,,Text/RenderTextWrapped,Auto Busy,自動ビジー
Automaton,Captured,,Selectable,Auto Busy##Selectable_Auto Busy,自動ビジー##Selectable_Auto Busy
Automaton,Captured,,Text/RenderTextWrapped,Auto Equip Exp Items,経験値装備を自動装備
Automaton,Captured,,Selectable,Auto Equip Exp Items##Selectable_Auto Equip Exp Items,経験値装備を自動装備##Selectable_Auto Equip Exp Items
Automaton,Captured,,Text/RenderTextWrapped,Auto Follow,自動追従
Automaton,Captured,,Text/RenderTextWrapped,Auto Follow Name,追従対象名
Automaton,Captured,,Selectable,Auto Follow##Selectable_Auto Follow,自動追従##Selectable_Auto Follow
Automaton,Captured,,Text/RenderTextWrapped,Auto invite people to your party based on a chat message.,チャットメッセージを条件に、対象プレイヤーを自動でパーティへ招待します。
Automaton,Captured,,Text/RenderTextWrapped,Auto Inviter,自動招待
Automaton,Captured,,Selectable,Auto Inviter##Selectable_Auto Inviter,自動招待##Selectable_Auto Inviter
Automaton,Captured,,Checkbox/RenderText,Auto Leave##End,自動退出##End
Automaton,Captured,,Text/RenderTextWrapped,Auto Merge,自動スタック統合
Automaton,Captured,,Selectable,Auto Merge##Selectable_Auto Merge,自動スタック統合##Selectable_Auto Merge
Automaton,Captured,,Text/RenderTextWrapped,Auto Pillion,自動相乗り
Automaton,Captured,,Selectable,Auto Pillion##Selectable_Auto Pillion,自動相乗り##Selectable_Auto Pillion
Automaton,Captured,,Text/RenderTextWrapped,Auto Queue,自動申請
Automaton,Captured,,Text/RenderTextWrapped,Auto queue into a pre-checked duty (on zone change).,Auto queue into a pre-checked duty (on zone change).
Automaton,Captured,,Selectable,Auto Queue##Selectable_Auto Queue,自動申請##Selectable_Auto Queue
Automaton,Captured,,Checkbox/RenderText,Auto Remove Completed##Input,完了済みを自動削除##Input
Automaton,Captured,,Text/RenderTextWrapped,Automatically completes snipe quests.,狙撃系クエストを自動で処理します。
Automaton,Captured,,Text/RenderTextWrapped,Automatically equips any exp boosting item on level change.,レベル変化時に、経験値ボーナス付き装備を自動で装備します。
Automaton,Captured,,Text/RenderTextWrapped,Automatically execute certain actions when the duty starts or ends.,コンテンツ開始・終了時に指定した処理を自動実行します。
Automaton,Captured,,Text/RenderTextWrapped,Automatically hop in to other peoples' mounts when you are near them.,近くにいる他プレイヤーの相乗り可能マウントへ自動で乗ります。
Automaton,Captured,,Text/RenderTextWrapped,AutoRetainer Character Switcher,AutoRetainer キャラクター切替
Automaton,Captured,,Selectable,AutoRetainer Character Switcher##Selectable_AutoRetainer Character Switcher,AutoRetainer キャラクター切替##Selectable_AutoRetainer Character Switcher
Automaton,Captured,,Text/RenderTextWrapped,AutoRetainer x Questionable,AutoRetainer × Questionable
Automaton,Captured,,Selectable,AutoRetainer x Questionable##Selectable_AutoRetainer x Questionable,AutoRetainer × Questionable##Selectable_AutoRetainer x Questionable
Automaton,Captured,,Text/RenderTextWrapped,Available Commands,利用可能なコマンド
Automaton,Captured,,Text/RenderTextWrapped,"Available tokens: {Level}, {Name}, {Id}, {Progress}, {TimeRemaining}, {Distance}, {State}","使用可能なトークン：{Level}, {Name}, {Id}, {Progress}, {TimeRemaining}, {Distance}, {State}"
