Plugin,Menu,Section,Type,English,Japanese
BMR,,,Text,(R) Mico Reed,(R) Mico Reed
BMR,,,Selectable,2+0: first towers are soaked by short color and 0 unstable; they both then go north for second towers,2+0：1回目の塔は短い色＋不安定0が処理し、2回目は2人とも北の塔へ移動
BMR,,,Selectable,2+1: first towers are soaked by short color and 1 unstable; they both then go to different second towers,2+1：1回目の塔は短い色＋不安定1が処理し、2回目は2人が別々の塔へ移動
BMR,,,Checkbox,"Absolute Authority: ignore flares, stack together",Absolute Authority：フレアを無視して集合
BMR,,,Checkbox,Act 4: go 1/8 CCW to soak tower with dark debuff,Act 4：反時計回りに1/8周移動し、闇デバフ持ちで塔を処理
BMR,,,Checkbox,Act 4: go 3/8 CCW to break water tether,Act 4：反時計回りに3/8周移動し、水の線を切る
BMR,,,Text,Add phase priorities for autorotation (from highest to lowest):,雑魚フェーズの自動回し優先順位（上ほど優先）：
BMR,,,Checkbox,"Align dash actions with camera direction (Lost Swift, Occult Featherfoot, etc)",ダッシュ系アクションをカメラ方向に合わせる（Lost Swift、Occult Featherfootなど）
BMR,,,Selectable,All prey roles rotate clockwise,対象ロールは全員時計回り
BMR,,,Selectable,All prey roles rotate counterclockwise,対象ロールは全員反時計回り
BMR,,,Selectable,Always use preferred direction,常に優先方向を使用
BMR,,,Checkbox,Anonymize replays,リプレイを匿名化
BMR,,,Selectable,Any,任意
BMR,,,Selectable,Assign closest unambiguous inner tower,担当が明確な内側の塔のうち、最も近い塔を割り当て
BMR,,,Text/Selectable,Assign first CW tower that is not assigned to someone closer,時計回りに見て、より近い人へ割り当て済みでない最初の塔を担当
BMR,,,Text/Selectable,"Assume G1 left, G2 right when looking at boss from arena center",中央からボスを見てG1左・G2右として扱う
BMR,,,Selectable,"Assume G1 right, G2 left when looking at boss from arena center",中央からボスを見てG1右・G2左として扱う
BMR,,,Checkbox,Attempt to adjust Idyllic Dream tower logic to mistakes,Idyllic Dreamの塔処理を、途中のミスに合わせて補正
BMR,,,Checkbox,Auto record in Duty Recorder replays,コンテンツリプレイに自動記録
BMR,,,Checkbox,Auto record replays on duty start/end or outdoor module start/end,コンテンツ／フィールドモジュールの開始・終了時にリプレイを自動記録
BMR,,,Button,Auto-Assign Roles,ロールを自動割り当て
BMR,,,Text,Automatic mob targeting behavior,敵の自動ターゲット方針
BMR,,,Checkbox,Automatically assign roles on zone change,ゾーン移動時にロールを自動割り当て
BMR,,,Checkbox,Automatically navigate to Cairn of Passage,転移の石塔へ自動移動
BMR,,,Checkbox,Automatically navigate to coffers,宝箱へ自動移動
BMR,,,Selectable,Banana Codex (west = north),Banana Codex（西を基準北として扱う）
BMR,,,Selectable,CCW,反時計回り
BMR,,,Selectable,"CCW (leftmost, if facing outside)",反時計回り（外向き時は左端）
BMR,,,Text,Click to automatically assign party roles based on job and party order,クリックしてジョブとPT順に基づきロールを自動割り当て
BMR,,,Selectable,Clone Relative,分身基準
BMR,,,Checkbox,Curtain call: DD break debuff first,Curtain Call：DPSが先にデバフを切る
BMR,,,Selectable,CW,時計回り
BMR,,,Selectable,"CW (rightmost, if facing outside)",時計回り（外向き時は右端）
BMR,,,Checkbox,"Darts 2: supports relative west, dd relative east",Darts 2：サポートは西基準、DPSは東基準
BMR,,,Selectable,DD,DPS
BMR,,,Checkbox,Disable DoTs on non-boss floors (only affects BMR autorotation),ボス以外の階層ではDoTを使用しない（BMR自動回しのみ）
BMR,,,Selectable,DN,DN
BMR,,,Selectable,DN (true north),DN（真北基準）
BMR,,,Selectable,Don't assume any order,順番を固定しない
BMR,,,Selectable,Don't show any hints,ヒントを表示しない
BMR,,,Selectable,Don't try to assign inner towers,内側塔を割り当てない
BMR,,,Selectable,Don't try to assign outer towers,外側塔を割り当てない
BMR,,,Checkbox,Draw moving exaflare pattern,移動するエクサフレアパターンを描画
BMR,,,Selectable,"Dummy modules, dev work only.",ダミーモジュール（開発用のみ）
BMR,,,Checkbox,Dump client packets into dalamud.log,クライアントパケットをdalamud.logへ出力
BMR,,,Checkbox,Dump server packets into dalamud.log,サーバーパケットをdalamud.logへ出力
BMR,,,Selectable,E/W always,常に東西
BMR,,,Selectable,"E/W, unless both preys start at N & S",対象2名が南北開始の場合を除き東西
BMR,,,Checkbox,Enable AI Hell In A Cell tower order (North CW / Hector),AIのHell In A Cell塔順（北から時計回り／Hector）を有効化
BMR,,,Checkbox,Enable AI static Aetherletting spread positions (NA / Hector),AIのAetherletting固定散開（NA／Hector）を有効化
BMR,,,Checkbox,Enable AI Undead Deathmatch (LP1 N/W),AIのUndead Deathmatch処理（LP1北／西）を有効化
BMR,,,Checkbox,Enable custom priority list,カスタム優先リストを有効化
BMR,,,Checkbox,Enable lariat prediction,ラリアット予測を有効化
BMR,,,Checkbox,Enable minimap,ミニマップを有効化
BMR,,,Checkbox,Enable module,モジュールを有効化
BMR,,,Checkbox,Enable path 12 lantern AI,12番ルートのランタンAIを有効化
BMR,,,Checkbox,Enable seed AOE prediction,SeedのAOE予測を有効化
BMR,,,Text,Engravement of Souls 1: resolution hints,Engravement of Souls 1：処理ヒント
BMR,,,Selectable,EU meow braindead strategy using DN ZENITH markers,EU meow式（DN ZENITHマーカー使用）
BMR,,,Selectable,EU meow braindead strategy using markerless,EU meow式（マーカーなし）
BMR,,,Selectable,"Even numbers north, odd numbers south",偶数は北、奇数は南
BMR,,,Text,Feather Ray NE,Feather Ray：北東
BMR,,,Text,Feather Ray NW,Feather Ray：北西
BMR,,,Text,Feather Ray SE,Feather Ray：南東
BMR,,,Text,Feather Ray SW,Feather Ray：南西
BMR,,,Selectable,"First-party module created by the plugin author, or a third-party contributed module that was thoroughly verified.",作者作成の公式モジュール、または作者が十分に動作確認した外部提供モジュール。
BMR,,,Selectable,Flank,側面
BMR,,,Checkbox,Force AI to target assigned head,AIの攻撃対象を、割り当てられた頭部に固定
BMR,,,Checkbox,Force AI to target boss if no adds and no current target,雑魚がおらず現在のターゲットもない場合、AIにボスを狙わせる
BMR,,,Checkbox,Force AI to target closest add when spawned,雑魚が出現したら、AIに最も近い雑魚を狙わせる
BMR,,,Text,Format for recorded logs,記録ログの形式
BMR,,,Selectable,Freaky arrow CW box (Merry Go Round),Freaky矢印：時計回りボックス（Merry Go Round）
BMR,,,Selectable,Front,正面
BMR,,,Selectable,game8 (JP),game8 (JP)
BMR,,,Text,Gimme Cat P1,Gimme Cat P1
BMR,,,Text,Gimme Cat P3,Gimme Cat P3
BMR,,,Text,Gimme Cat P4,Gimme Cat P4
BMR,,,Selectable,GOPB (reverse order) (LPDU),GOPB（逆順／LPDU）
BMR,,,Selectable,GPOB (only B and G swap) (NA),GPOB（BとGのみ入れ替え／NA）
BMR,,,Text,GTFO from aoe!,AOEから退避！
BMR,,,Text,H1,H1
BMR,,,Text,H2,H2
BMR,,,Selectable,Healer,ヒーラー
BMR,,,Text,Heavensflame resolution hints,Heavensflameの処理ヒント
BMR,,,Selectable,Hector (NA),Hector (NA)
BMR,,,Checkbox,High concept 1: long debuffs take S towers,High concept 1: 長いデバフは南側の塔を担当
BMR,,,Text,Highlighted pomanders will be used when a gold chest contains one that you can't carry.,所持上限で拾えない魔土器が金の宝箱に入っている場合、強調表示された魔土器を使用します。
BMR,,,Checkbox,Ignore packets for other players when dumping to dalamud.log,dalamud.logへの出力時、他プレイヤーのパケットを無視
BMR,,,Text,Intemperance: corner that swaps with N on asymmetrical pattern,Intemperance：非対称パターンで北と入れ替わる角
BMR,,,Text,Intermission: safespot hints,Intermission: 安置ヒント
BMR,,,Text,Invalid assignments: there should be exactly one raid member per role,割り当て不正：各ロールにちょうど1人のPTメンバーが必要です
BMR,,,Text,Jabberwock P3,Jabberwock P3
BMR,,,Text,Jabberwock P4,Jabberwock P4
BMR,,,Text,Limit cut positioning hints,リミットカット（サイコロ）の立ち位置ヒント
BMR,,,Checkbox,Limitless desolation: tanks/healers use right side,Limitless Desolation：タンク／ヒーラーは右側を使用
BMR,,,Selectable,"LPDU (inter)cardinals: cross=N/S, square=NE/SW, circle=E/W, triangle=SE/NW",LPDU配置：×＝南北、□＝北東／南西、○＝東西、△＝南東／北西
BMR,,,Selectable,LPDU: MT->OT->M1 (M2 as fallback)->R1,LPDU：MT→OT→M1（不在時M2）→R1
BMR,,,Selectable,LPDU: MT->OT->M1 (M2 as fallback)->R2,LPDU：MT→OT→M1（不在時M2）→R2
BMR,,,Text,M1,M1
BMR,,,Text,M2,M2
BMR,,,Selectable,"Match waymark colors: circle=red, triangle=green, cross=blue, square=purple",マーカー色に合わせる：○=赤、△=緑、×=青、□=紫
BMR,,,Selectable,Melee,近接DPS
BMR,,,Selectable,Modified Xolo,Modified Xolo
BMR,,,Selectable,Module that has been verified to work well with AI enabled.,AI有効時に正常動作することが確認済みのモジュール。
BMR,,,Text/Selectable,MT,MT
BMR,,,Text,Mu P1,Mu P1
BMR,,,Text,Mu P2,Mu P2
BMR,,,Text,Mu P4,Mu P4
BMR,,,Selectable,N/S always,常に南北
BMR,,,Selectable,"N/S, unless both preys start at E & W",対象2名が東西開始の場合を除き南北
BMR,,,Selectable,NA Kroxy-Rinon (341 Melee Flex),NA Kroxy-Rinon式（341・近接調整）
BMR,,,Selectable,NE/SW,NE/SW
BMR,,,Selectable,Normal Graven Image 2,Graven Image 2 通常処理
BMR,,,Selectable,North (LPDU),北（LPDU）
BMR,,,Selectable,North/South,南北
BMR,,,Selectable,Northernmost pair (NA),最も北側のペア（NA）
BMR,,,Checkbox,Obstacle maps: load from source,障害物マップ：ソースから読み込み
BMR,,,Checkbox,Open bronze coffers,銅の宝箱を開ける
BMR,,,Checkbox,Open gold coffers,金の宝箱を開ける
BMR,,,Checkbox,Open silver coffers,銀の宝箱を開ける
BMR,,,Text/Selectable,OT,OT
BMR,,,Checkbox,P1 Explosions: flex roles only fill 3/4 if their natural tower is 1 (instead of doing conga),P1 Explosions：本来の担当塔が1のときだけ、調整役が3／4を埋める（コングライン方式を使わない）
