Plugin,Menu,Section,Type,English,Japanese
Pawprint,,,@Window,ArenaNodeEditor,マス設定
Pawprint,Captured,,,#02 松鼠,#02 スクウィレル
Pawprint,Captured,,,#02 松鼠 → 松鼠 · NameId 37,#02 スクウィレル → スクウィレル · NameId 37
Pawprint,Captured,,Selectable,01 库西##monster1,01 クーシー##monster1
Pawprint,Captured,,Selectable,02 松鼠##monster2,02 スクウィレル##monster2
Pawprint,Captured,,Selectable,03 迷途羊羔##monster3,03 ロストラム##monster3
Pawprint,Captured,,Selectable,04 陆鱼##monster4,04 プギル##monster4
Pawprint,Captured,,Selectable,05 奥猴##monster5,05 オポオポ##monster5
Pawprint,Captured,,Selectable,06 渡渡鸟##monster6,06 ドードー##monster6
Pawprint,Captured,,Selectable,07 锈蚀矿爬虫##monster7,07 錆びたコブラン##monster7
Pawprint,Captured,,Selectable,08 凶蛛蝎##monster8,08 ダイアマイト##monster8
Pawprint,Captured,,Selectable,09 巨型陆蟹##monster9,09 メガロクラブ##monster9
Pawprint,Captured,,Selectable,10 大黄蜂##monster10,10 ホーネット##monster10
Pawprint,Captured,,Selectable,11 筑巢秃鹫##monster11,11 ネストバザード##monster11
Pawprint,Captured,,Selectable,12 小蔓德拉##monster12,12 マンドラゴラ##monster12
Pawprint,Captured,,Selectable,13 死魂##monster13,13 ゲシュンペスト##monster13
Pawprint,Captured,,Selectable,14 跳蜥幼体##monster14,14 ヤーゾン##monster14
Pawprint,Captured,,Selectable,15 薄壳蟹##monster15,15 シェルクラブ##monster15
Pawprint,Captured,,Selectable,16 螳螂杀手##monster16,16 マンティス##monster16
Pawprint,Captured,,Selectable,17 怒水腐液##monster17,17 スライム##monster17
Pawprint,Captured,,Selectable,18 无头教练##monster18,18 ヘッドレス##monster18
Pawprint,Captured,,Selectable,19 洞穴蝙蝠##monster19,19 ケイブバット##monster19
Pawprint,Captured,,Selectable,20 小红花##monster20,20 フライトラップ##monster20
Pawprint,Captured,,Selectable,21 罗斯利特鹈鹕##monster21,21 ジズ##monster21
Pawprint,Captured,,Selectable,22 仙人掌##monster22,22 サボテンダー##monster22
Pawprint,Captured,,Selectable,23 砂石巨像##monster23,23 ゴーレム##monster23
Pawprint,Captured,,Selectable,24 碧企鹅##monster24,24 アプカル##monster24
Pawprint,Captured,,Selectable,25 巨龟##monster25,25 アダマンタス##monster25
Pawprint,Captured,,Selectable,26 负伤原牛##monster26,26 オーロックス##monster26
Pawprint,Captured,,Selectable,27 船菊石##monster27,27 アンモナイト##monster27
Pawprint,Captured,,Selectable,28 沙地巨虫##monster28,28 サンドウォーム##monster28
Pawprint,Captured,,Selectable,29 盗墓魔石精##monster29,29 スプリガン##monster29
Pawprint,Captured,,Selectable,30 无苔古菩猩猩##monster30,30 グゥーブー##monster30
Pawprint,Captured,,Selectable,31 沙蟾蜍##monster31,31 ギガントード##monster31
Pawprint,Captured,,Selectable,32 蜂鸟##monster32,32 ハミングバード##monster32
Pawprint,Captured,,Selectable,33 长须豹##monster33,33 クァール##monster33
Pawprint,Captured,,Selectable,34 森疾龙##monster34,34 ラプトル##monster34
Pawprint,Captured,,Selectable,35 烈阳火蛟##monster35,35 サンドレイク##monster35
Pawprint,Captured,,Selectable,36 幼体树精##monster36,36 トレント##monster36
Pawprint,Captured,,Selectable,37 灵蚁禁军士兵 / 灵蚁禁军警卫##monster37,37 アントリング兵 / アントリング警備兵##monster37
Pawprint,Captured,,Selectable,38 奇美拉##monster38,38 キマイラ##monster38
Pawprint,Captured,,Selectable,39 套索花##monster39,39 モルボル##monster39
Pawprint,Captured,,Selectable,40 妖魂##monster40,40 ゴースト##monster40
Pawprint,Captured,,Selectable,41 深黑水蜥##monster41,41 サラマンダー##monster41
Pawprint,Captured,,Selectable,42 湖畔眼镜蛇##monster42,42 コブラ##monster42
Pawprint,Captured,,Selectable,43 海德拉##monster43,43 ハイドラ##monster43
Pawprint,Captured,,Selectable,44 虻蜻蜓##monster44,44 ダムゼルフライ##monster44
Pawprint,Captured,,Selectable,45 腐坏贪吃鬼##monster45,45 グラットン##monster45
Pawprint,Captured,,Selectable,46 祖##monster46,46 ズー##monster46
Pawprint,Captured,,Selectable,47 冰锥万迪尔##monster47,47 ヴァンディル##monster47
Pawprint,Captured,,Selectable,48 真红龙虾##monster48,48 レッドロブスター##monster48
Pawprint,Captured,,Selectable,49 大王花##monster49,49 モルボル##monster49
Pawprint,Captured,,Selectable,50 贝希摩斯王##monster50,50 キングベヒーモス##monster50
Pawprint,Captured,,,AutoDuty · 按需 · 已就绪,AutoDuty · 必要時使用 · 準備完了
Pawprint,Captured,,,AutoDuty · 运行：False；已停止：True,AutoDuty · 実行中：False／停止済み：True
Pawprint,Captured,,,BossMod · 当前预设：无（或多个）,BossMod · 現在のプリセット：なし（または複数）
Pawprint,Captured,,,Lifestream · 必需 · 已就绪,Lifestream · 必須 · 準備完了
Pawprint,Captured,,,Lifestream · 行程运行：False,Lifestream · 移動処理実行中：False
Pawprint,Captured,,,OMNI · 未认证,OMNI · 未認証
Pawprint,Captured,,,Omni 验证中,Omni 認証中
Pawprint,Captured,,,Pawprint 0.5.12,Pawprint 0.5.12
Pawprint,Captured,,,Prome GreenMove · IPC 不可用或版本不匹配：IpcNotReadyError,Prome GreenMove · IPCが利用できないか、バージョンが一致しません：IpcNotReadyError
Pawprint,Captured,,,PromeRotation · IPC 不可用或版本不匹配：IpcNotReadyError,PromeRotation · IPCが利用できないか、バージョンが一致しません：IpcNotReadyError
Pawprint,Captured,,,vnavmesh · 必需 · 已就绪,vnavmesh · 必須 · 準備完了
Pawprint,Captured,,,vnavmesh · 网格就绪,vnavmesh · ナビメッシュ準備完了
Pawprint,Captured,,,一次性凭证 · 签发后 30 秒有效,ワンタイム認証コード · 発行後30秒間有効
Pawprint,Captured,,,不使用道具,クルーシブルアイテムを使用しない
Pawprint,Captured,,,不喂食,フィードを与えない
Pawprint,Captured,,,不在帐篷休息,テントで休憩しない
Pawprint,Captured,,,不明,不明
Pawprint,Captured,,,不花费斗兽币,ビーストコインを消費しない
Pawprint,Captured,,,不获得装备,ビーストギアを取得しない
Pawprint,Captured,,,为达成个数目标预留道具（背包≤目标时不用药）,所持数目標を満たすまでアイテムを温存する（所持数が目標以下なら使用しない）
Pawprint,Captured,,,优先飞行,飛行を優先
