Plugin,Menu,Section,Type,English,Japanese
RSR,Target,Configuration,,Target Fate priority,FATE対象を優先
RSR,Basic,Timer,,Clicking actions random delay range.,アクション実行時のランダム遅延範囲
RSR,Basic,Timer,,How soon before countdown is finished to start casting or attacking.,カウントダウン終了の何秒前から詠唱・攻撃を開始するか
RSR,Basic,Timer,,The minimum time between updating RSR information. (Raising this will help with framerate issues but can cause issues with rotation performance),RSR情報を更新する最小間隔（長くすると負荷は下がりますが、ローテーション性能に影響する場合があります）
RSR,DNC,Configuration,,Description,説明
RSR,DNC,Configuration,,Status,状態
RSR,DNC,Configuration,,"Holds Tech Step if no targets in range (Warning, will drift)",範囲内に対象がいない場合はテクニカルステップを温存（使用タイミングがずれる場合があります）
RSR,DNC,Configuration,,"Holds Standard Step if no targets in range (Warning, will drift & Buff may fall off)",範囲内に対象がいない場合はスタンダードステップを温存（使用タイミングがずれ、バフが切れる場合があります）
RSR,DNC,Configuration,,Dance Partner Name (If empty or not found uses default dance partner priority),ダンスパートナー名（空欄または見つからない場合は既定の優先順位を使用）
RSR,DNC,Configuration,,Dance Partner Priority,ダンスパートナー優先順位
RSR,DNC,Configuration,,Reset to Default,初期設定に戻す
RSR,Target,Configuration,,Hard Target for all actions,すべてのアクションで現在のターゲットを使用
RSR,Target,Configuration,,Ignore target dummies,木人を無視
RSR,Target,Configuration,,Treat target dummy as a boss.,木人をボスとして扱う
RSR,Target,Configuration,,Engage settings,交戦設定
RSR,Target,Configuration,,Target Hunt/Relic/Leve priority. (Relic behavior bugged),モブハント／レリック／リーヴ対象を優先（レリック動作に不具合あり）
RSR,Target,Configuration,,Target quest priority (Overrides engage setting).,クエスト対象を優先（交戦設定より優先）
RSR,Target,Configuration,,Block targeting quest mobs belonging to other players.,他プレイヤーのクエスト対象をターゲットしない
RSR,Target,Configuration,,Ignore all other FATE target when Forlorn available.,フォーローン出現中は他のFATE対象を無視
RSR,Main,State Macros,,Cycles between states following settings in Target > Configuration.,Target > Configuration の設定に従って状態を切り替える
RSR,Target,Configuration,,Prioritize mob/object targets with attack markers,攻撃マーカー付きの敵／オブジェクトを優先
RSR,Target,Configuration,,Prioritize enemy parts,敵の部位を優先
RSR,Target,Configuration,,Never attack targets with stop markers.,停止マーカー付きの対象は攻撃しない
RSR,Target,Configuration,,Treat 1hp targets as invincible.,HP1の対象を無敵として扱う
RSR,Target,Configuration,,Ignore Non-Fate targets while in a Fate and Fate targets if not in Fate.,FATE中はFATE外の敵を無視し、FATE外ではFATE対象を無視
RSR,Target,Configuration,,Delay autotarget.,自動ターゲットを遅延
RSR,Target,Configuration,,Prioritize Low HP targets instead of High HP targets when using Small Target and multiple Small targets present.,Small Targetで候補が複数いる場合、HPが低い対象を優先
RSR,Target,Configuration,,Prioritize Low HP targets instead of High HP targets when using Big Target and multiple Big targets present.,Big Targetで候補が複数いる場合、HPが低い対象を優先
RSR,Target,Configuration,,Set target to closest targetable enemy if no valid action target nearby and target not set while in combat (This works in Manual mode as well),戦闘中に有効な行動対象が近くになく未ターゲットなら、最も近い攻撃可能な敵を選択（Manualでも有効）
RSR,Target,Configuration,,Only attack targets in view.,視界内の対象だけ攻撃
RSR,Target,Configuration,,Only attack targets in vision cone,視野角内の対象だけ攻撃
RSR,Target,Configuration,,Move to the furthest position for targeting area movement actions.,範囲移動アクションでは最も遠い位置へ移動
RSR,Target,Configuration,,The size of the sector angle that can be selected as the moveable target,移動対象として選択できる扇形の角度
RSR,Target,Configuration,,Use movement actions towards the object/mob in the center of the screen,画面中央のオブジェクト／敵へ向かう移動アクションを使用
RSR,Target,Configuration,,"If target's TTK is higher than this, regard it as boss.",対象のTTKがこの値より長ければボスとして扱う
RSR,Target,Configuration,,"If target's TTK is lower than this, regard it as dying.",対象のTTKがこの値より短ければ瀕死として扱う
RSR,Target,Configuration,,"If target's HP percentage is lower than this, regard it as dying.",対象のHP割合がこの値より低ければ瀕死として扱う
RSR,Target,Hostile,,"Enemy targeting logic. Adding more options cycles them when using /rotation Auto.Use /rotation Settings TargetingTypes add <option> to add,/rotation Settings TargetingTypes remove <option> to remove,and /rotation Settings TargetingTypes removeall to remove all options.",敵のターゲット選択方式。複数登録すると /rotation Auto 使用時に順番に切り替わる。追加: /rotation Settings TargetingTypes add <option>削除: /rotation Settings TargetingTypes remove <option>全削除: /rotation Settings TargetingTypes removeall
RSR,Basic,,,Configure basic settings.,基本設定
RSR,Auto,Action Usage and Control,,Configure general action usage and control settings.,アクション使用と操作の一般設定
RSR,Extra,,,Configure optional helpful features.,補助機能の設定
RSR,List,,,Configure reactive actions and status effect lists.,反応アクションとステータス効果リストの設定
RSR,Target,,,Configure targeting settings.,ターゲット設定
RSR,UI,,,Configure user interface settings.,UI設定
